pnum,condition,mode,p10,p30,p50,p70,p90
1,0,overall,0.477,0.546,0.62,0.735,0.9817
1,0,accurate,0.477,0.546,0.6214999999999999,0.735,0.988
1,0,error,0.4591,0.5303,0.597,0.7094999999999999,0.8599
1,1,overall,0.655,0.726,0.805,0.919,1.149
1,1,accurate,0.656,0.727,0.806,0.919,1.1518000000000002
1,1,error,0.6412,0.687,0.769,0.8882,1.1047000000000002
1,2,overall,0.5058,0.612,0.752,0.9515999999999999,1.3566000000000003
1,2,accurate,0.504,0.612,0.757,0.9550999999999998,1.36
1,2,error,0.5108,0.6082,0.74,0.937,1.3332000000000006
1,3,overall,0.683,0.7928,0.911,1.1051999999999997,1.5218
1,3,accurate,0.6821,0.792,0.917,1.112,1.5239
1,3,error,0.684,0.796,0.905,1.0876,1.5042
2,0,overall,0.476,0.5806999999999999,0.706,0.8803,1.2491000000000003
2,0,accurate,0.476,0.581,0.708,0.8848999999999999,1.2598999999999998
2,0,error,0.46840000000000004,0.5794999999999999,0.7,0.8644,1.157
2,1,overall,0.646,0.743,0.86,1.034,1.379
2,1,accurate,0.644,0.7411,0.857,1.0307999999999997,1.39
2,1,error,0.658,0.7676000000000001,0.882,1.0373999999999999,1.364
2,2,overall,0.4929,0.602,0.7404999999999999,0.958,1.3831000000000002
2,2,accurate,0.48769999999999997,0.595,0.732,0.9589,1.375
2,2,error,0.503,0.6215999999999999,0.7635000000000001,0.9573999999999999,1.3889
2,3,overall,0.664,0.774,0.913,1.105,1.5078
2,3,accurate,0.661,0.7654,0.918,1.112,1.5176000000000023
2,3,error,0.6761,0.783,0.9085000000000001,1.0917,1.506
3,0,overall,0.43970000000000004,0.503,0.573,0.684,0.9193
3,0,accurate,0.4394,0.503,0.574,0.684,0.923
3,0,error,0.44320000000000004,0.5036,0.554,0.6748000000000001,0.8042
3,1,overall,0.611,0.678,0.752,0.855,1.0973
3,1,accurate,0.611,0.678,0.752,0.8558999999999999,1.1026
3,1,error,0.6187,0.6961999999999999,0.741,0.8442999999999999,1.0485
3,2,overall,0.457,0.544,0.653,0.817,1.1356000000000002
3,2,accurate,0.45940000000000003,0.546,0.657,0.823,1.145
3,2,error,0.4509,0.5327000000000001,0.6505000000000001,0.7976,1.0707000000000004
3,3,overall,0.627,0.71,0.815,0.978,1.327
3,3,accurate,0.624,0.705,0.811,0.9725999999999999,1.3138
3,3,error,0.632,0.716,0.832,0.9957,1.3518999999999997
